Company Name,Ticker,Market Cap (mil),Month of Fiscal Yr End,Sector,Industry,Exchange,Last Close,Last Yr`s EPS (F0) Before NRI,Last Reported Fiscal Yr  (yyyymm),F1 Consensus Est.,F2 Consensus Est.
"Aisin Seiki","ASEKY","8618.8","3","Auto-Tires-Trucks","Automotive - Original Equipment","OTC","31.96","2.33","202403","3.76","4.08"
"Asahi Glass","ASGLY","6827.45","12","Industrial Products","Glass Products","OTC","6.28",".43","202312","",""
"ASGN","ASGN","4167.26","12","Computer and Technology","Computers - IT Services","NYSE","90.79","6.09","202312","5.18","5.71"
"ASHLAND INC","ASH","4198.56","9","Basic Materials","Chemical - Specialty","NYSE","85.98","4.07","202309","4.55","5.37"
"Ashtead Group","ASHTY","30161.6","4","Industrial Products","Industrial Services","OTC","275.89","15.37","202404","15.63","17.98"
"ASM International","ASMIY","33492.08","12","Computer and Technology","Semiconductor - Communications ","OTC","678.99","12.73","202312","16.41","22.69"
"ASML Holding","ASML","365460.81","12","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","NSDQ","926.18","21.53","202312","20.3","33.92"
"Ascendis Pharma","ASND","8060.98","12","Medical","Medical - Biomedical and Genetics","NSDQ","138.43","-9.24","202312","-5.5","-1.77"
"Academy Sports and Outdoors","ASO","3961.13","1","Consumer Discretionary","Leisure and Recreation Products","NSDQ","54.92","6.96","202401","6.51","7.18"
"Grupo Aeroportuario del Sureste","ASR","8374.5","12","Transportation","Transportation - Services","NYSE","279.15","20.1","202312","22.89","25.5"
"AST SpaceMobile","ASTS","9240.88","12","Computer and Technology","Wireless Equipment","NSDQ","34.32","-1.07","202312","-1.1","-.27"
"ASE Technology","ASX","21819.19","12","Computer and Technology","Electronics - Semiconductors","NYSE","9.94",".46","202312",".51",".79"
"Auto Trader Group","ATDRY","9515.45","3","Auto-Tires-Trucks","Automotive - Foreign","OTC","2.66",".09","202403",".1",".12"
"Advantest","ATEYY","33138.32","3","Computer and Technology","Electronics - Measuring Instruments","OTC","44.9",".58","202403",".63",".94"
"ATI Inc.","ATI","7892.25","12","Basic Materials","Steel - Speciality","NYSE","63.41","2.56","202312","2.47","3.14"
"Atkore","ATKR","3431.54","9","Industrial Products","Wire and Cable Products","NYSE","95.68","19.4","202309","15.59","14.88"
"Atmos Energy","ATO","20065.39","9","Utilities","Utility - Gas Distribution","NYSE","129.26","6.1","202309","6.78","7.11"
"AptarGroup","ATR","9832.79","12","Industrial Products","Containers - Paper and Packaging","NYSE","148.11","4.78","202312","5.36","5.94"
"AngloGold Ashanti PLC","AU","13432.89","12","Basic Materials","Mining - Gold","NYSE","32.09","-.11","202312","2.39","3.02"
"Atlantic Union Bankshares","AUB","3322.86","12","Finance","Banks - Northeast","NYSE","37.01","2.95","202312","3.04","3.53"
"Reinvent Technology Partners Y","AUR","5804.15","12","Business Services","Technology Services","NSDQ","3.7","-.6","202312","",""
"Avista","AVA","3032.46","12","Utilities","Utility - Electric Power","NYSE","38.53","2.24","202312","2.42","2.67"
"AeroVironment","AVAV","5281.38","4","Aerospace","Aerospace - Defense Equipment","NSDQ","187.24","2.99","202404","3.41","4.05"
"AvalonBay Communities","AVB","30801.31","12","Finance","REIT and Equity Trust - Residential","NYSE","216.58","10.63","202312","10.98","11.51"
"Broadcom","AVGO","772477.94","10","Computer and Technology","Electronics - Semiconductors","NSDQ","165.95","4.22","202310","4.72","5.93"
"Avient","AVNT","4183.95","12","Basic Materials","Chemical - Diversified ","NYSE","45.82","2.36","202312","2.65","3.02"
"Avnet","AVT","4783.63","6","Computer and Technology","Electronics - Parts Distribution","NSDQ","54.29","5.34","202406","4.65","6.08"
"Avantor","AVTR","17390.32","12","Medical","Medical Services","NYSE","25.58","1.06","202312","1.01","1.23"
"Aviva","AVVIY","17738.83","12","Finance","Insurance - Life Insurance","OTC","13.2525","1.45","202312","1.11","1.3"
"Avery Dennison","AVY","17096.61","12","Industrial Products","Office Supplies","NYSE","212.33","7.9","202312","9.46","10.49"
"Armstrong World Industries","AWI","5298.63","12","Construction","Building Products - Miscellaneous","NYSE","121.25","5.32","202312","6.07","6.7"
"American Water Works","AWK","27528.3","12","Utilities","Utility - Water Supply","NYSE","141.27","4.9","202312","5.26","5.68"
"American States Water","AWR","3060.25","12","Utilities","Utility - Water Supply","NYSE","81.7","2.85","202312","3.03","3.35"
"Axos Financial","AX","3614.02","6","Finance","Financial - Miscellaneous Services","NYSE","63.44","7.66","202406","7.22","7.43"
"Axa","AXAHY","84431.78","12","Finance","Insurance - Multi line","OTC","37.17","3.58","202312","3.75","4.15"
"Axonics","AXNX","3525.1","12","Medical","Medical Info Systems","NSDQ","68.96","-.12","202312",".16",".65"
"Axon Enterprise","AXON","28193.01","12","Industrial Products","Security and Safety Services","NSDQ","373.05","4.14","202312","4.91","5.97"
"American Express","AXP","179917.53","12","Finance","Financial - Miscellaneous Services","NYSE","253.08","11.21","202312","13.06","14.89"
"Axis Capital Holdings","AXS","6275.7","12","Finance","Insurance - Property and Casualty","NYSE","74.55","9.85","202312","10.66","11.55"
"Axsome Therapeutics","AXSM","4187.23","12","Medical","Medical - Biomedical and Genetics","NSDQ","88.16","-2.67","202312","-5.55","-1.21"
"Axalta Coating Systems","AXTA","7528.74","12","Basic Materials","Chemical - Specialty","NYSE","34.33","1.57","202312","2.05","2.34"
"Acuity Brands","AYI","7368.32","8","Construction","Building Products - Lighting","NYSE","239.5","14.05","202308","15.38","16.5"
"AZEK","AZEK","5899.24","9","Construction","Building Products - Air Conditioner and Heating","NYSE","40.77",".74","202309","1.18","1.39"
"AstraZeneca","AZN","263950.16","12","Medical","Large Cap Pharmaceuticals","NSDQ","85.13","3.63","202312","4.06","4.71"
"AutoZone","AZO","54439.67","8","Retail-Wholesale","Automotive - Retail and Wholesale - Parts","NYSE","3186.8101","132.36","202308","151.37","163.56"
"Aspen Technology","AZPN","13619.97","6","Computer and Technology","Internet - Software","NSDQ","215.32","6.59","202406","7.43","8.11"
"Boeing","BA","106042.38","12","Aerospace","Aerospace - Defense","NYSE","172.1","-5.81","202312","-4.06","3.43"
"Alibaba","BABA","205639","3","Retail-Wholesale","Internet - Commerce","NYSE","81.04","8.62","202403","8.2","8.66"
"Bank of America","BAC","300218.06","12","Finance","Banks - Major Regional","NYSE","38.69","3.42","202312","3.28","3.64"
"Bank of China","BACHY","133298.8","12","Finance","Banks - Foreign","OTC","11.32","2.71","202312","",""
"Bae Systems","BAESY","51841.54","12","Aerospace","Aerospace - Defense Equipment","OTC","68.49","2.7","202312","3.46","3.99"
"Booz Allen Hamilton","BAH","19462.59","3","Business Services","Government Services","NYSE","150.65","5.5","202403","5.99","6.69"
"Ball","BALL","19212.65","12","Industrial Products","Containers - Metal and Glass","NYSE","63.29","2.9","202312","3.12","3.52"
"Brookfield Asset Management Ltd.","BAM","17712.99","12","Finance","Financial - Miscellaneous Services","NYSE","39.91","1.37","202312","1.42","1.67"
"BancFirst","BANF","3342.83","12","Finance","Banks - Southwest","NSDQ","101.23","6.34","202312","6.07","5.82"
"BASF","BASFY","43429.84","12","Basic Materials","Chemical - Diversified ","OTC","12.005",".75","202312",".92","1.1"
"Baxter International","BAX","18478.63","12","Medical","Medical - Products","NYSE","36.22","2.6","202312","2.95","3.2"
"BridgeBio Pharma","BBIO","4824.92","12","Medical","Medical - Generic Drugs","NSDQ","25.66","-3.95","202312","-2.46","-2.87"
"BB Seguridade Participacoes","BBSEY","13120","12","Finance","Insurance - Multi line","OTC","6.56",".8","202312",".78",".83"
"Banco Bilbao Viscaya Argentaria","BBVA","60656.2","12","Finance","Banks - Foreign","NYSE","10.39","1.4","202312","1.7","1.62"
"Bath & Body Works, Inc.","BBWI","7413.51","1","Retail-Wholesale","Retail - Miscellaneous","NYSE","33.21","3.27","202401","3.3","3.76"
"Best Buy","BBY","18279.58","1","Retail-Wholesale","Retail - Consumer Electronics","NYSE","84.74","6.37","202401","6.09","6.76"
"Brunswick","BC","5013.11","12","Consumer Discretionary","Leisure and Recreation Products","NYSE","75.7","8.8","202312","5.59","6.31"
"Boise Cascade","BCC","5035.58","12","Construction","Building Products - Wood","NYSE","127.55","12.12","202312","9.76","10.77"
"BCE","BCE","31501.13","12","Utilities","Diversified Communication Services","NYSE","34.53","2.38","202312","2.19","2.18"
"Bank of Communications","BCMXY","59558.7","12","Finance","Banks - Foreign","OTC","20.05","4.24","202312","",""
"Brink's","BCO","4525.05","12","Business Services","Outsourcing","NYSE","102.52","7.35","202312","7.51","8.93"
"Balchem","BCPC","5427.19","12","Basic Materials","Chemical - Specialty","NSDQ","167.28","3.35","202312","3.96","4.61"
"Barclays","BCS","43529.95","12","Finance","Banks - Foreign","NYSE","11.82","1.38","202312","1.68","2.06"
"Belden","BDC","4215.21","12","Industrial Products","Wire and Cable Products","NYSE","103.3","6.83","202312","6.04","7.77"
"Banco Do Brasil","BDORY","30659.96","12","Finance","Banks - Foreign","OTC","5.35","1.05","202312","1.12","1.15"
"Becton, Dickinson and Company","BDX","67849.82","9","Medical","Medical - Dental Supplies","NYSE","234.74","12.21","202309","13.1","14.27"
"Beacon Roofing Supply","BECN","5286.29","12","Retail-Wholesale","Building Products - Retail","NSDQ","85.44","7.76","202312","7.45","8.54"
"KE Hodlings","BEKE","18015.34","12","Finance","Real Estate - Operations","NYSE","14.61","1.15","202312","1.02","1.22"
"Franklin Resources","BEN","11830.22","9","Finance","Financial - Investment Management","NYSE","22.62","2.6","202309","2.41","2.65"
"Brookfield Renewable Partners","BEP","6821.3","12","Utilities","Utility - Electric Power","NYSE","23.93","-.32","202312","-.87",".22"
